"Hostie D'épais","Hostie D'épais"
"Cuistre","Cuistre"
"Bougre De Congre","Bougre De Congre"
"Dypterosodomite","Dypterosodomite"
"Morveux","Morveux"
"Pisse Froid","Pisse Froid"
"Rambo De Pacotille","Rambo De Pacotille"
"Betterave","Betterave"
"Poireau","Poireau"
"Trou Du Cul","Trou Du Cul"
"Tronche De Cake","Tronche De Cake"
"Trou De Balle","Trou De Balle"
"Schtroumph à Lunettes","Schtroumph à Lunettes"
"Pipistrelle Puante","Pipistrelle Puante"
"Erreur Génétique Vaaa !!","Erreur Génétique Vaaa !!"
"Mickey","Mickey"
"Patate","Patate"
"Fils De Keuf","Fils De Keuf"
"Chancreux !","Chancreux !"
"Gomorrhéen !","Gomorrhéen !"
"Tête D'ampoule","Tête D'ampoule"
"Idiot","Idiot"
"Cloporte","Cloporte"
"Cancrelat","Cancrelat"
"Gibier De Potence","Gibier De Potence"
"Chacal Puant","Chacal Puant"
"Don Juan De Pissotière","Don Juan De Pissotière"
"Obsédé","Obsédé"
"Imbécile","Imbécile"
"Taré","Taré"
"Pov Tache","Pov Tache"
"ZCharogne","ZCharogne"
"Narvalo","Narvalo"
"Morille","Morille"
"Tabernacle","Tabernacle"
"Sac à Merde","Sac à Merde"
"Manche à Couille","Manche à Couille"
"Flaque De Pus","Flaque De Pus"
"Maquereau","Maquereau"
"Couille De Loup","Couille De Loup"
"Sac à Foutre","Sac à Foutre"
"Brêle","Brêle"
"Anus De Poulpe","Anus De Poulpe"
"Pisseuse","Pisseuse"
"Chiassard","Chiassard"
"Sacripan","Sacripan"
"Tapette","Tapette"
"Caillera","Caillera"
"Fumier","Fumier"
"Bouffon","Bouffon"
"Ectoplasme","Ectoplasme"
"Malpropre","Malpropre"
"Truand","Truand"
"Cervelle D'huitre","Cervelle D'huitre"
"Petzouille","Petzouille"
"Crétin Des Iles","Crétin Des Iles"
"Crotte De Moineau","Crotte De Moineau"
"Face De Rat","Face De Rat"
"Pet De Moule","Pet De Moule"
"Mou Du Bulbe","Mou Du Bulbe"
"Playboy De Superette","Playboy De Superette"
"Spermatozoide Avarié","Spermatozoide Avarié"
"Loutre Analphabète","Loutre Analphabète"
"Pot D'chambre","Pot D'chambre"
"Nécrophile","Nécrophile"
"Ecervelé","Ecervelé"
"Roulure","Roulure"
"Mont De Brin","Mont De Brin"
"Faraud","Faraud"
"Boule De Pus","Boule De Pus"
"Branquignole","Branquignole"
"Pauvre Con","Pauvre Con"
"Fini à L'urine","Fini à L'urine"
"Vérole","Vérole"
"Pignouf","Pignouf"
"Banane","Banane"
"Pervers","Pervers"
"Gras Du Bide","Gras Du Bide"
"Mou Du Gland","Mou Du Gland"
"Couille De Tétard","Couille De Tétard"
"Mou Du Genou","Mou Du Genou"
"Moule A Gauffre ","Moule A Gauffre "
"Pygocéphale","Pygocéphale"
"Nul","Nul"
"Boulet","Boulet"
"Spermiducte ","Spermiducte "
"Dégénéré Du Bulbe","Dégénéré Du Bulbe"
"Glandus","Glandus"
"Schnock","Schnock"
"Poltron","Poltron"
"Tonnerre De Brest","Tonnerre De Brest"
"Gugus","Gugus"
"Boursemolle","Boursemolle"
"Morbleu","Morbleu"
"Bougre D'ane","Bougre D'ane"
"Bougre D'imbecile","Bougre D'imbecile"
"Grand Cornichon","Grand Cornichon"
"Sac à Vin","Sac à Vin"
"Crassard","Crassard"
"Sinistrose Ambulante","Sinistrose Ambulante"
"Erreur De La Nature","Erreur De La Nature"
"Résidus De Partouze","Résidus De Partouze"
"Margoulin","Margoulin"
"Cryptorchide ","Cryptorchide "
"Peigne-cul","Peigne-cul"
"Peau De Vache","Peau De Vache"
"Crâne D'obus","Crâne D'obus"
"Bourique","Bourique"
"Vieux Fossile","Vieux Fossile"
"Crevard","Crevard"
"Asticot","Asticot"
"Crapaud De Pissotière","Crapaud De Pissotière"
"Bandit Calabrais","Bandit Calabrais"
"Décamerde","Décamerde"
"Plouc","Plouc"
"Bouseux","Bouseux"
"Péquenot","Péquenot"
"Pimbêche","Pimbêche"
"Gueux","Gueux"
"Traîne Savate","Traîne Savate"
"Pute","Pute"
"Morpion","Morpion"
"Pisse-vinaigre","Pisse-vinaigre"
"Dugenou","Dugenou"
"Mononeuronal","Mononeuronal"
"Salopard","Salopard"
"Trumeaux","Trumeaux"
"Quiche","Quiche"
"Boloss","Boloss"
"Vieux Tromblon","Vieux Tromblon"
"Vilain Comme Une Couvée De Singe","Vilain Comme Une Couvée De Singe"
"Degueulasse ","Degueulasse "
"Chienne","Chienne"
"Outre à Pisse","Outre à Pisse"
"Marin D'eau Douce","Marin D'eau Douce"
"Emplâtre","Emplâtre"
"Sauvage","Sauvage"
"Aztèque","Aztèque"
"Grenouille De Bénitier","Grenouille De Bénitier"
"Marchand De Tapis","Marchand De Tapis"
"Iconoclaste","Iconoclaste"
"Chenapan","Chenapan"
"Zoulou","Zoulou"
"Doryphore","Doryphore"
"Zouave","Zouave"
"Pirate","Pirate"
"Garage A Bite","Garage A Bite"
"Bouche à Pipe","Bouche à Pipe"
"Couard","Couard"
"Necropédophile","Necropédophile"
"Paumé","Paumé"
"Scelerat","Scelerat"
"Bigleux","Bigleux"
"Boutonneux","Boutonneux"
"Molasson","Molasson"
"Pompe A Merde","Pompe A Merde"
"Impuissant","Impuissant"
"Eunuque","Eunuque"
"Dégueulis","Dégueulis"
"Vautour","Vautour"
"Globicéphale","Globicéphale"
"Tas De Saindoux","Tas De Saindoux"
"Analphabète","Analphabète"
"Sac à Viande","Sac à Viande"
"Niguedouille","Niguedouille"
"Empoté","Empoté"
"Clodo","Clodo"
"Lavedu","Lavedu"
"Usurpateur","Usurpateur"
"Langue De Pute","Langue De Pute"
"Crevure","Crevure"
"Pousse Mégot","Pousse Mégot"
"Faschiste","Faschiste"
"Tabarnak","Tabarnak"
"Nazillon","Nazillon"
"Félon","Félon"
"Nique Ta Mère","Nique Ta Mère"
"Vandale","Vandale"
"Enflure","Enflure"
"Mouton De Panurge","Mouton De Panurge"
"Pue Du Bec","Pue Du Bec"
"éspèce Di Counasse","éspèce Di Counasse"
"Calculatrice","Calculatrice"
"Cloaque","Cloaque"
"Gourgandine","Gourgandine"
"Pécore","Pécore"
"Outrecuidant","Outrecuidant"
"Chiennasse","Chiennasse"
"Crasspouillard!","Crasspouillard!"
"Souillon","Souillon"
"Traînée","Traînée"
"Laideron","Laideron"
"Cageot","Cageot"
"Neuneu","Neuneu"
"Judas","Judas"
"Béotien","Béotien"
"Dégénéré Chromozomique","Dégénéré Chromozomique"
"Gangrène","Gangrène"
"Palsembleu","Palsembleu"
"Bassine A Foutre","Bassine A Foutre"
"Aspirateur A Muscadet","Aspirateur A Muscadet"
"Chafouin","Chafouin"
"chafouine","chafouine"
"Gland","Gland"
"Rougne","Rougne"
"Troubignole","Troubignole"
"âne","âne"
"Schpountz","Schpountz"
"Sybarite","Sybarite"
"Satrape","Satrape"
"Fiote","Fiote"
"Guignol","Guignol"
"Tanche","Tanche"
"Merde","Merde"
"Poire","Poire"
"Bête","Bête"
"Putassière","Putassière"
"Gourdasse","Gourdasse"
"Batard","Batard"
"Méchant.","Méchant."
"Chieur","Chieur"
"Morfale","Morfale"
"Goinfre","Goinfre"
"Gueulard","Gueulard"
"Gros Lard","Gros Lard"
"Vorace","Vorace"
"Goulu","Goulu"
"Fricoteur","Fricoteur"
"Glandeur","Glandeur"
"Bleubite","Bleubite"
"Gonzesse","Gonzesse"
"Vioque","Vioque"
"Pecore","Pecore"
"Burne","Burne"
"Carne","Carne"
"Pleutre","Pleutre"
"Paysan","Paysan"
"Kéké","Kéké"
"Nanar","Nanar"
"Sabraque","Sabraque"
"Tricard","Tricard"
"Queutard ","Queutard "
"Fada","Fada"
"Larve","Larve"
"Porc","Porc"
"Pouilleux","Pouilleux"
"Arsouille","Arsouille"
"épave","épave"
"Sot","Sot"
"Merdaillon","Merdaillon"
"Branque","Branque"
"Vermine","Vermine"
"Chien","Chien"
"Lopette","Lopette"
"Mortecouille ","Mortecouille "
"Saltinbanque","Saltinbanque"
"Clampin","Clampin"
"Roquet","Roquet"
"Chameau","Chameau"
"Veule","Veule"
"Chacal","Chacal"
"Tocard","Tocard"
"Renégat","Renégat"
"Fourbe","Fourbe"
"Jean-foutre","Jean-foutre"
"Scatophile","Scatophile"
"Mongol","Mongol"
"Goujat","Goujat"
"Gommeux","Gommeux"
"Stupide","Stupide"
"Atardé","Atardé"
"Manant","Manant"
"Leche-boules","Leche-boules"
"Nabot","Nabot"
"Motherfucker","Motherfucker"
"Dicksucker","Dicksucker"
"Phlegmon","Phlegmon"
"Punaise","Punaise"
